,Q_id
0,53588623
1,55762581
2,63658604
3,62677285
4,46509039
5,54722814
6,64618164
7,62379726
8,61708729
9,53578605
10,55060705
11,53916510
12,60478862
13,58879512
14,62317756
15,60302123
16,56251267
17,52782864
18,58688056
19,47594358
20,59209055
21,64914598
22,62466506
23,61289559
24,62400718
25,61569612
26,61501555
27,58709494
28,64670476
29,59684472
30,43662364
31,60045550
32,50663803
33,57948024
34,60009868
35,65023526
36,60095102
37,56861681
38,64589649
39,61019485
40,64335975
41,56926882
42,59485640
43,59581762
44,60796555
45,60257756
46,64356499
47,61884137
48,53097477
49,53710313
50,51329159
51,55895696
52,62084654
53,64365215
54,63587198
55,61900138
56,64814104
57,62237372
58,62585158
59,59932666
60,60615115
61,59008098
62,59613693
63,59437658
64,60376096
65,53515719
66,50586687
67,55341072
68,63112597
69,48807989
70,61736959
71,64370953
72,62554659
73,59916431
74,60025291
75,61471370
76,55670244
77,64857786
78,50285824
79,56741108
80,57237381
81,62644255
82,58890684
83,59884949
84,54059953
85,64311259
86,62163109
87,55129148
88,63458498
89,49993776
90,64973770
91,59063954
92,64601301
93,62084245
94,61094394
95,61640074
96,53036403
97,62453752
98,62380252
99,60961466
100,49624501
101,56744937
102,60293600
103,61701071
104,61049416
105,56360644
106,46474426
107,62939056
108,65012948
109,60845222
110,59986205
111,62688442
112,64809589
113,50073358
114,62850262
115,49520443
116,57988897
117,55488795
118,58896335
119,63656680
120,64770259
121,64837376
122,60682593
123,54300707
124,62892556
125,61637213
126,51533663
127,60459292
128,60958134
129,61565293
130,60116398
131,62454219
132,59800318
133,55476131
134,59705922
135,58059221
136,47635918
137,63063470
138,60031174
139,52731782
140,62148106
141,61250268
142,51531007
143,65066059
144,64554137
145,64618079
146,57192111
147,64044200
148,58506051
149,64944278
150,61863504
151,55519662
152,60682622
153,60692872
154,46625967
155,53879727
156,63363235
157,50186348
158,43104252
159,55307561
160,56418580
161,59092390
162,62574753
163,52547157
164,55128842
165,43781526
166,61597583
167,62432572
168,56649583
169,63155282
170,58278247
171,57284345
172,53781260
173,64809370
174,63111030
175,61128428
176,62253755
177,64703480
178,63707986
179,52615296
180,50812838
181,58581464
182,56390705
183,50541569
184,60684061
185,54749244
186,63813893
187,56401266
188,54878415
189,56133521
190,60513469
191,50007085
192,57499867
193,54695953
194,59748317
195,64235432
196,56054164
197,61562456
198,55672391
199,57724134
200,57236261
201,51097719
202,63268886
203,52969995
204,53586245
205,64470080
206,63682001
207,60768583
208,63710488
209,63582510
210,55852727
211,63145378
212,49033764
213,61509872
214,62849789
215,60863206
216,59079411
217,61808965
218,59994462
219,57095189
220,55694263
221,64948852
222,62068434
223,48343857
224,60438983
225,43961051
226,56871429
227,64722968
228,60363180
229,58799486
230,64052833
231,58185506
232,61335217
233,61014484
234,55437438
235,63072770
236,53032586
237,57494714
238,57065070
239,64334033
240,60567538
241,56327475
242,50195080
243,64605776
244,63629212
245,51756581
246,65051014
247,63022629
248,51115476
249,52148541
250,63518688
251,56135590
252,63756773
253,59941776
254,64272460
255,62737043
256,62434075
257,63624390
258,64124757
259,52815264
260,58877166
261,50408673
262,64608068
263,64180517
264,61146458
265,53530810
266,45617017
267,51603798
268,60538059
269,53743498
270,62689937
271,52277083
272,64451179
273,61816854
274,53894496
275,58956958
276,62120741
277,62422644
278,58686400
279,59654271
280,57052351
281,62247674
282,45446983
283,61116039
284,56028489
285,65091965
286,55107466
287,57434438
288,56174293
289,60067164
290,61813228
291,56875663
292,62372055
293,64797395
294,64731400
295,55665689
296,61698275
297,64079249
298,64139164
299,63243154
300,62420902
301,52344834
302,62596016
303,50930300
304,64206070
305,63521958
306,53538138
307,53500838
308,49987673
309,60144922
310,60744928
311,61215873
312,62468346
313,60101168
314,60614678
315,54682222
316,57057022
317,61075390
318,61990429
319,63097995
320,50617917
321,50480689
322,61639900
323,64905441
324,51891743
325,64137429
326,55378802
327,65066981
328,60438644
329,63660023
330,56123240
331,55142316
332,64131993
333,56719867
334,63790634
335,55803106
336,61022787
337,60296710
338,57561947
339,64867781
340,50475094
341,55720464
342,45861767
343,58912268
344,60495486
345,59129241
346,61515601
347,62384388
348,57957101
349,45276997
350,63128557
351,55943259
352,50539641
353,53416833
354,60750288
355,59516539
356,49088670
357,59441355
358,63256567
359,61579064
360,59330974
361,63254121
362,64037618
363,56966499
364,62157890
365,63332048
366,53995708
367,54054163
368,47312396
369,64679865
370,58824625
371,62111920
372,62188623
373,60373136
374,59012616
375,63232732
376,65029639
377,60469220
378,61718049
379,54043589
380,50968788
381,53605586
382,49097669
383,63075594
384,63406621
385,56934322
386,60918408
387,54451971
388,52213726
389,64216905
390,54274089
391,61964863
392,64940953
393,51259119
394,64846357
395,61567150
396,61812509
397,60838718
398,60244735
399,63545434
400,58496139
401,61968540
402,61857079
403,52317407
404,50873484
405,60253449
406,59434184
407,55474474
408,64624104
409,62904639
410,60414698
411,48402009
412,59868377
413,62187263
414,62520641
415,59395680
416,64483065
417,63930934
418,53794900
419,62472238
420,60236208
421,65078281
422,60772545
423,62195487
424,57193146
425,60339453
426,60365105
427,62302878
428,55009884
429,63212096
430,61162368
431,57500582
432,59013496
433,63153471
434,51664192
435,62941625
436,60726057
437,61642363
438,56866168
439,61948655
440,57264800
441,56086706
442,63645357
443,65142518
444,62780158
445,64006962
446,46704352
447,53584246
448,59909613
449,57299674
450,64745900
451,64348369
452,62439514
453,63901115
454,62735465
455,61827738
456,63005606
457,64304882
458,56761865
459,62067849
460,50161411
461,49878836
462,53106369
463,64452065
464,62629114
465,61914525
466,64761518
467,63585771
468,64997817
469,61704416
470,62726792
471,59275108
472,56116270
473,62443806
474,52677861
475,63927648
476,59944407
477,63913372
478,54928638
479,61213493
480,58454157
481,57116878
482,50541672
483,63108456
484,62978636
485,63541681
486,54387659
487,56943494
488,52710878
489,59054002
490,59582663
491,61419136
492,60205829
493,59023201
494,62769986
495,63788527
496,62279080
497,54261892
498,44843033
499,64775763
500,64646903
501,53744363
502,58318792
503,59621736
504,50425739
505,62933706
506,62223840
507,62953477
508,64615990
509,61964672
510,49232441
511,57725608
512,60020184
513,64980694
514,56810480
515,63175154
516,53689183
517,60840500
518,54798422
519,47762973
520,63930757
521,62559389
522,60259836
523,52192599
524,56113646
525,64278495
526,63510021
527,62543665
528,59711335
529,54677683
530,60239051
531,63499876
532,57664289
533,60627275
534,54188885
535,52241680
536,48715030
537,64368193
538,57718447
539,62912925
540,54721106
541,61862614
542,47145683
543,59497766
544,63520236
545,62968557
546,64628130
547,51448897
548,62783857
549,63441778
550,62588143
551,55880253
552,56243672
553,63166341
554,53186736
555,60440292
556,63520401
557,55596375
558,54117962
559,50185227
560,44770638
561,60350060
562,61974658
563,63610626
564,52455658
565,54107156
566,64004745
567,56745486
568,65101054
569,59171833
570,64822548
571,46257428
572,47403634
573,55932767
574,63396387
575,53916594
576,50701690
577,59493606
578,64796538
579,52178922
580,52789474
581,59563220
582,57943032
583,44403886
584,64152094
585,47897666
586,50960830
587,52524117
588,62412155
589,48895910
590,59139073
591,61522539
592,61847448
593,45673949
594,43585263
595,64635630
596,60379513
597,60891340
598,59635097
599,63585477
600,62624804
601,53641292
602,62673238
603,56085657
604,60798712
605,59208990
606,62246656
607,58612453
608,64627432
609,53300965
610,59866818
611,63075914
612,50454645
613,46482787
614,54794302
615,62922324
616,63692611
617,60475895
618,56590886
619,51741046
620,61520938
621,57013705
622,59940854
623,59510603
624,54303890
625,63332638
626,57832423
627,64381906
628,53421999
629,58339835
630,57517740
631,58478316
632,48527722
633,59218671
634,49206550
635,53544901
636,64778852
637,50399055
638,59632255
639,57541091
640,64542924
641,43556339
642,62911946
643,53268442
644,63630933
645,60022388
646,63322801
647,60266256
648,63966513
649,60029369
650,64777195
651,64346112
652,61052513
653,62706674
654,49675499
655,58996451
656,44630395
657,62081155
658,63435050
659,63572304
660,63274505
661,64420059
662,54058256
663,61598164
664,53088825
665,63919315
666,56490431
667,53201921
668,57631705
669,57291307
670,56702413
671,58194148
672,50196608
673,62675972
674,50845631
675,52570007
676,57277214
677,47645423
678,61756222
679,60996754
680,59178619
681,58339302
682,54839446
683,57642161
684,43080583
685,63793013
686,58496858
687,58215056
688,61238514
689,63591609
690,63846816
691,48273372
692,60202610
693,56269922
694,55932985
695,59593807
696,51243969
697,53682045
698,63164627
699,59211395
700,63566232
701,54053256
702,65096679
703,57736416
704,65144346
705,51681243
706,50368390
707,59411700
708,61845974
709,60771047
710,59378742
711,63273419
712,49161652
